Wall time,Step,Actor_loss,Critic loss,Entropy loss,Conflict,Crash,Reward,Standard deviation of action choice
1664869976.47618,43,9.79407596588135,230.661651611328,-1.94254100322723,722,284,-1191.39624023438,1.96985113620758
1664870013.5927,46,6.17172527313232,100.192497253418,-1.94244420528412,678,96,-799.732360839844,1.98681354522705
1664870619.86506,95,5.07822895050049,63.8818435668945,-1.94156086444855,586,6,-647.447509765625,1.99318897724152
1664871493.4491,168,5.76987171173096,83.6635665893555,-1.93900644779205,660,14,-709.079833984375,1.94208478927612
1664872201.54805,230,1.81446576118469,9.92866706848145,-1.93587863445282,282,12,-284.724945068359,1.9279887676239
1664872258.30148,235,2.19780325889587,15.1340627670288,-1.9355765581131,360,12,-332.181610107422,1.9671106338501
1664872493.95396,256,4.06931924819946,71.8270645141602,-1.93310058116913,452,42,-561.527465820313,1.96985733509064
1664872694.50971,274,3.51354908943176,60.9486427307129,-1.93187546730042,264,98,-465.936218261719,1.93549942970276
1664873082.41039,309,0.911434710025787,2.68766117095947,-1.92644667625427,216,0,-211.255340576172,1.97139310836792
1664873103.78077,311,0.688574373722076,1.91274034976959,-1.92639052867889,72,0,-182.903274536133,1.94582843780518
1664873191.20455,319,3.97663855552673,94.2565307617187,-1.92718315124512,308,134,-543.035888671875,1.93191039562225
1664874866.69879,475,0.926799893379211,8.46346378326416,-1.91098356246948,252,2,-269.501739501953,1.95921623706818
1664875522.13411,537,-0.448676109313965,0.591728806495667,-1.89565217494965,38,0,-129.614868164063,1.88347339630127
1664875976.94557,580,4.24786043167114,83.8311309814453,-1.88737976551056,568,8,-658.005920410156,1.87031030654907
1664876050.3513,587,0.015704303979874,3.59559488296509,-1.88879108428955,94,6,-189.203567504883,1.84034883975983
1664876554.09068,635,-0.40545055270195,1.52486979961395,-1.87762427330017,64,0,-150.345596313477,1.83015811443329
1664876689.4202,648,-0.512450158596039,1.37085914611816,-1.87595283985138,40,0,-140.015075683594,1.85157608985901
1664877389.33172,715,-0.744875848293304,0.854322075843811,-1.84301888942719,28,0,-114.019035339355,1.82124626636505
1664877472.98507,723,-0.511476099491119,1.75139129161835,-1.84001433849335,50,0,-135.427658081055,1.82781791687012
1664878308.58607,803,4.03738451004028,108.997604370117,-1.7924382686615,388,68,-623.73388671875,1.80555999279022
1664878370.96283,809,-0.501102685928345,1.9253796339035,-1.78845083713532,68,2,-136.671020507813,1.7055412530899
1664878661.39025,837,3.3250458240509,104.939414978027,-1.77734577655792,330,170,-567.759704589844,1.73378896713257
1664880501.97498,1015,-0.332302421331406,3.94767880439758,-1.63422274589539,66,6,-136.33268737793,1.58959138393402
1664881037.90081,1067,-0.862865567207336,0.95076459646225,-1.5754941701889,24,0,-73.1770935058594,1.51975560188293
1664881430.82836,1105,-0.738380014896393,1.37729001045227,-1.51971364021301,42,0,-85.2162399291992,1.50124156475067
1664882211.24437,1181,-0.806885182857513,1.14622235298157,-1.43450260162354,34,0,-70.835090637207,1.4098128080368
1664883038.57038,1262,0.212468668818474,7.2749547958374,-1.30610549449921,198,6,-160.184585571289,1.30985379219055
1664883600.96451,1317,-0.434125870466232,2.21075248718262,-1.24080836772919,82,0,-95.5545501708984,1.26832711696625
1664883631.41077,1320,-0.955211281776428,1.12218177318573,-1.24203133583069,22,0,-44.051929473877,1.25891840457916
1664883774.37101,1334,1.21952641010284,21.5855941772461,-1.22815787792206,300,0,-279.201843261719,1.26771593093872
1664883815.17431,1338,0.629675805568695,23.7261066436768,-1.22254300117493,160,0,-198.675415039063,1.22710812091827
1664884301.27221,1386,-0.773452699184418,1.28597462177277,-1.13910698890686,52,0,-56.5351295471191,1.22057962417603
1664884371.63133,1393,-0.700674474239349,1.35112154483795,-1.11345231533051,60,0,-63.8626670837402,1.20643746852875
1664884814.58385,1437,3.29068231582642,116.160568237305,-1.06640470027924,294,194,-484.063140869141,1.15349519252777
1664885974.31153,1553,0.456218838691711,11.6465473175049,-0.970068752765656,198,8,-159.215774536133,1.03754699230194
1664886293.09241,1585,-0.712823688983917,0.949678421020508,-0.904887676239014,46,0,-39.5778656005859,1.07996046543121
1664887361.43991,1692,-0.142122969031334,2.70339608192444,-0.74635237455368,90,4,-83.5534896850586,0.875112116336823
1664887786.9406,1735,-0.808453142642975,0.7814120054245,-0.712373733520508,12,0,-12.0137367248535,0.826012969017029
1664887816.69794,1738,-0.429628789424896,2.40373754501343,-0.704804301261902,50,6,-48.7115669250488,0.927228629589081
1664888874.13555,1845,-0.64156836271286,0.546815276145935,-0.568198800086975,28,0,-11.9494562149048,0.772214472293854
